Idade,Genero,Item_Comprado,Valor_Compra(R$),Forma_Pagamento,Compras_Anteriores,Frequencia_Compras
51,Masculino,Botas,77.0,PayPal,24,Trimestral
25,Masculino,Jaqueta,65.0,PayPal,10,A cada 3 meses
37,Masculino,Sandalias,39.0,Venmo,7,A cada 3 meses
41,Masculino,Cinto,51.0,Venmo,1,Semanal
64,Masculino,Bolsa,65.0,Venmo,45,A cada 3 meses
23,Masculino,Óculos de Sol,89.0,Dinheiro,37,Semanal
62,Masculino,Saia,76.0,Cartao de Credito,14,Trimestral
39,Masculino,Mochila,75.0,Venmo,25,Mensal
52,Masculino,Sandalias,61.0,Cartao de Credito,18,Anual
50,Masculino,Botas,35.0,Dinheiro,37,A cada 3 meses
28,Masculino,Tenis,37.0,Venmo,30,Mensal
67,Masculino,Saia,91.0,Venmo,34,Semanal
41,Masculino,Vestido,99.0,Cartao de Credito,49,A cada 3 meses
19,Masculino,Shorts,54.0,PayPal,48,Mensal
70,Masculino,Bolsa,47.0,Cartao de Credito,33,Quinzenal
49,Masculino,Cachecol,77.0,Venmo,44,Anual
59,Masculino,Cinto,84.0,Venmo,50,Semanal
52,Masculino,Luvas,51.0,Cartao de Credito,47,Mensal
20,Masculino,Saia,26.0,Venmo,24,A cada 3 meses
31,Masculino,Shorts,64.0,Venmo,43,Mensal
33,Masculino,Mochila,51.0,Cartao de Debito,14,Mensal
44,Masculino,Agasalho,60.0,Venmo,3,Trimestral
40,Masculino,Bone,69.0,Cartao de Debito,33,Trimestral
69,Masculino,Joias,29.0,Cartao de Credito,38,Quinzenal
29,Masculino,Camisa,91.0,PayPal,46,Semanal
54,Masculino,Cinto,70.0,Cartao de Credito,19,A cada 3 meses
65,Masculino,Sueter,58.0,Cartao de Debito,20,Anual
54,Masculino,Bone,98.0,Dinheiro,42,Trimestral
60,Masculino,Cachecol,68.0,Cartao de Debito,34,Mensal
43,Masculino,Bone,44.0,Cartao de Debito,5,Mensal
44,Masculino,Jaqueta,45.0,Transferencia Bancaria,3,Trimestral
69,Masculino,Camiseta,99.0,Cartao de Credito,46,A cada 3 meses
46,Masculino,Vestido,68.0,Cartao de Credito,16,Anual
41,Masculino,Calca,56.0,Cartao de Debito,21,Duas vezes/semana
32,Masculino,Sueter,43.0,PayPal,34,Duas vezes/semana
26,Masculino,Óculos de Sol,99.0,Dinheiro,9,A cada 3 meses
61,Masculino,Cinto,56.0,Cartao de Debito,36,Semanal
49,Masculino,Agasalho,25.0,Transferencia Bancaria,22,Mensal
53,Masculino,Calca,74.0,Dinheiro,2,Trimestral
24,Masculino,Agasalho,56.0,Transferencia Bancaria,32,Mensal
37,Masculino,Tenis,47.0,Transferencia Bancaria,29,A cada 3 meses
43,Masculino,Vestido,67.0,PayPal,27,A cada 3 meses
31,Masculino,Vestido,22.0,Cartao de Debito,33,Quinzenal
49,Masculino,Jeans,34.0,Dinheiro,16,Mensal
69,Masculino,Sueter,64.0,Cartao de Debito,11,Trimestral
65,Masculino,Shorts,42.0,Dinheiro,11,Quinzenal
41,Masculino,Camisa,82.0,PayPal,17,Duas vezes/semana
37,Masculino,Cinto,81.0,Cartao de Credito,37,Semanal
70,Masculino,Casaco,24.0,Venmo,18,Semanal
63,Masculino,Tenis,60.0,Venmo,13,Mensal
55,Masculino,Camisa,24.0,PayPal,7,Semanal
52,Masculino,Meias,78.0,Cartao de Credito,37,Trimestral
22,Masculino,Jeans,88.0,Cartao de Credito,8,Mensal
54,Masculino,Jeans,63.0,PayPal,11,Duas vezes/semana
28,Masculino,Tenis,78.0,Transferencia Bancaria,8,Duas vezes/semana
67,Masculino,Vestido,37.0,Transferencia Bancaria,31,A cada 3 meses
59,Masculino,Botas,94.0,Venmo,26,Quinzenal
26,Masculino,Camiseta,78.0,Cartao de Credito,20,Duas vezes/semana
24,Masculino,Casaco,36.0,Dinheiro,24,Quinzenal
62,Masculino,Saia,24.0,Venmo,45,Duas vezes/semana
70,Masculino,Tenis,84.0,Cartao de Debito,33,Mensal
45,Masculino,Jeans,47.0,Transferencia Bancaria,21,Mensal
58,Masculino,Agasalho,51.0,Cartao de Credito,2,Quinzenal
31,Masculino,Sapato,84.0,Cartao de Debito,28,Semanal
32,Masculino,Shorts,24.0,Cartao de Debito,18,Trimestral
36,Masculino,Blusa,97.0,Transferencia Bancaria,21,Quinzenal
25,Masculino,Camiseta,89.0,Venmo,24,Mensal
48,Masculino,Cinto,44.0,PayPal,15,A cada 3 meses
39,Masculino,Bolsa,35.0,Transferencia Bancaria,38,A cada 3 meses
26,Masculino,Vestido,91.0,Dinheiro,38,Duas vezes/semana
32,Masculino,Bone,63.0,PayPal,13,Quinzenal
54,Masculino,Cinto,97.0,Cartao de Debito,39,Duas vezes/semana
38,Masculino,Botas,38.0,Cartao de Debito,8,A cada 3 meses
46,Masculino,Casaco,24.0,PayPal,4,Trimestral
57,Masculino,Blusa,32.0,Dinheiro,6,A cada 3 meses
49,Masculino,Bone,90.0,Venmo,11,A cada 3 meses
33,Masculino,Jeans,36.0,Dinheiro,49,Mensal
54,Masculino,Mochila,37.0,Dinheiro,30,Trimestral
47,Masculino,Vestido,51.0,Venmo,34,Mensal
36,Masculino,Bone,71.0,Transferencia Bancaria,28,Mensal
68,Masculino,Óculos de Sol,50.0,Cartao de Credito,36,Trimestral
60,Masculino,Bone,74.0,Venmo,18,A cada 3 meses
55,Masculino,Vestido,75.0,Venmo,4,Mensal
29,Masculino,Camisa,99.0,Venmo,42,Trimestral
38,Masculino,Cachecol,23.0,Transferencia Bancaria,11,Trimestral
70,Masculino,Tenis,53.0,Dinheiro,31,Duas vezes/semana
36,Masculino,Saia,99.0,Dinheiro,12,Quinzenal
18,Masculino,Joias,48.0,Cartao de Debito,20,Trimestral
62,Masculino,Botas,72.0,Venmo,37,Trimestral
29,Masculino,Óculos de Sol,64.0,Dinheiro,26,Quinzenal
21,Masculino,Botas,63.0,Dinheiro,14,Semanal
42,Masculino,Sandalias,51.0,Transferencia Bancaria,12,Duas vezes/semana
43,Masculino,Botas,55.0,Cartao de Debito,10,Anual
58,Masculino,Vestido,55.0,Dinheiro,19,Anual
27,Masculino,Agasalho,26.0,Cartao de Debito,4,Semanal
57,Masculino,Shorts,67.0,Cartao de Debito,48,Trimestral
40,Masculino,Casaco,31.0,Cartao de Debito,37,Mensal
45,Masculino,Jeans,66.0,PayPal,4,Mensal
47,Masculino,Óculos de Sol,67.0,Transferencia Bancaria,15,Semanal
61,Masculino,Tenis,61.0,Venmo,33,Semanal
60,Masculino,Jaqueta,75.0,Venmo,30,Trimestral
69,Masculino,Saia,90.0,Cartao de Credito,23,Mensal
58,Masculino,Sueter,40.0,Transferencia Bancaria,2,Semanal
34,Masculino,Camiseta,90.0,PayPal,50,A cada 3 meses
20,Masculino,Cinto,20.0,Cartao de Credito,34,Duas vezes/semana
56,Masculino,Luvas,40.0,Dinheiro,33,Semanal
64,Masculino,Bone,33.0,Venmo,34,Mensal
56,Masculino,Botas,98.0,Transferencia Bancaria,39,A cada 3 meses
27,Masculino,Cinto,42.0,Cartao de Debito,47,Trimestral
35,Masculino,Casaco,62.0,Venmo,37,Mensal
24,Masculino,Bone,45.0,Cartao de Credito,40,Duas vezes/semana
26,Masculino,Sapato,78.0,Dinheiro,8,Duas vezes/semana
32,Masculino,Bolsa,80.0,Cartao de Credito,12,Anual
54,Masculino,Cachecol,96.0,Cartao de Credito,36,Mensal
62,Masculino,Bolsa,47.0,PayPal,48,Semanal
50,Masculino,Calca,84.0,Venmo,47,Quinzenal
70,Masculino,Sapato,31.0,Transferencia Bancaria,2,Mensal
48,Masculino,Óculos de Sol,63.0,PayPal,24,Semanal
20,Masculino,Shorts,97.0,Cartao de Debito,40,Duas vezes/semana
46,Masculino,Jaqueta,99.0,Cartao de Credito,50,Semanal
51,Masculino,Sandalias,90.0,Dinheiro,25,Semanal
53,Masculino,Sapato,68.0,PayPal,20,Mensal
44,Masculino,Joias,80.0,Venmo,10,Semanal
29,Masculino,Sandalias,91.0,Transferencia Bancaria,32,Trimestral
64,Masculino,Calca,30.0,Cartao de Debito,31,Quinzenal
51,Masculino,Sapato,90.0,Venmo,48,Duas vezes/semana
50,Masculino,Meias,28.0,Venmo,23,Mensal
43,Masculino,Meias,46.0,Cartao de Credito,1,Duas vezes/semana
61,Masculino,Vestido,60.0,Cartao de Credito,4,Quinzenal
55,Masculino,Sapato,59.0,Cartao de Credito,3,Duas vezes/semana
56,Masculino,Bone,68.0,Dinheiro,3,Duas vezes/semana
33,Masculino,Mochila,79.0,Dinheiro,44,Anual
43,Masculino,Mochila,94.0,Cartao de Credito,5,Duas vezes/semana
21,Masculino,Calca,83.0,Cartao de Credito,50,Trimestral
58,Masculino,Luvas,62.0,Venmo,2,Anual
41,Masculino,Cachecol,85.0,Dinheiro,29,Anual
39,Masculino,Agasalho,30.0,Transferencia Bancaria,11,Anual
54,Masculino,Jeans,24.0,PayPal,37,Quinzenal
43,Masculino,Mochila,25.0,PayPal,32,Quinzenal
28,Masculino,Sandalias,37.0,Dinheiro,27,Anual
59,Masculino,Cinto,69.0,Transferencia Bancaria,31,Duas vezes/semana
28,Masculino,Sapato,97.0,Transferencia Bancaria,36,Quinzenal
68,Masculino,Luvas,24.0,Cartao de Debito,34,Semanal
20,Masculino,Cinto,30.0,Dinheiro,15,A cada 3 meses
21,Masculino,Jaqueta,53.0,Dinheiro,14,Anual
50,Masculino,Vestido,70.0,Cartao de Credito,46,Semanal
32,Masculino,Camisa,76.0,Cartao de Debito,33,Duas vezes/semana
24,Masculino,Cachecol,95.0,Transferencia Bancaria,41,Anual
55,Masculino,Casaco,51.0,Cartao de Credito,39,Semanal
61,Masculino,Bolsa,41.0,Dinheiro,7,Anual
61,Masculino,Óculos de Sol,71.0,Transferencia Bancaria,29,A cada 3 meses
28,Masculino,Camiseta,66.0,Cartao de Debito,18,Trimestral
60,Masculino,Camisa,84.0,Transferencia Bancaria,15,Anual
49,Masculino,Bolsa,95.0,Venmo,39,Duas vezes/semana
33,Masculino,Joias,90.0,Dinheiro,11,Mensal
45,Masculino,Agasalho,36.0,Venmo,4,Quinzenal
29,Masculino,Luvas,22.0,Cartao de Credito,33,Duas vezes/semana
58,Masculino,Casaco,89.0,Cartao de Credito,37,Trimestral
22,Masculino,Sandalias,50.0,Dinheiro,32,Trimestral
55,Masculino,Botas,36.0,Transferencia Bancaria,44,Trimestral
19,Masculino,Calca,52.0,Cartao de Credito,41,Trimestral
68,Masculino,Meias,29.0,Venmo,44,Semanal
61,Masculino,Blusa,89.0,Venmo,32,Anual
68,Masculino,Bolsa,47.0,Cartao de Credito,13,Mensal
52,Masculino,Joias,25.0,Transferencia Bancaria,48,Trimestral
41,Masculino,Calca,74.0,Transferencia Bancaria,3,Semanal
29,Masculino,Cinto,46.0,PayPal,39,Mensal
68,Masculino,Jeans,22.0,Venmo,7,Quinzenal
36,Masculino,Camisa,25.0,Venmo,11,Quinzenal
55,Masculino,Cinto,80.0,Venmo,47,Semanal
28,Masculino,Jeans,76.0,Transferencia Bancaria,28,Quinzenal
39,Masculino,Jeans,30.0,Cartao de Credito,17,A cada 3 meses
54,Masculino,Sueter,79.0,Dinheiro,11,Duas vezes/semana
40,Masculino,Tenis,22.0,Cartao de Credito,12,Anual
31,Masculino,Meias,36.0,Cartao de Debito,7,Quinzenal
30,Masculino,Meias,77.0,Dinheiro,19,Quinzenal
45,Masculino,Óculos de Sol,33.0,Cartao de Credito,24,Trimestral
48,Masculino,Tenis,64.0,Cartao de Credito,19,Mensal
45,Masculino,Meias,53.0,PayPal,39,Anual
60,Masculino,Sapato,36.0,Venmo,1,Quinzenal
59,Masculino,Blusa,70.0,Dinheiro,10,Duas vezes/semana
18,Masculino,Shorts,96.0,Cartao de Debito,48,Trimestral
70,Masculino,Jaqueta,27.0,PayPal,24,Anual
20,Masculino,Sueter,64.0,Cartao de Debito,42,Quinzenal
65,Masculino,Jaqueta,23.0,Transferencia Bancaria,20,Semanal
29,Masculino,Cachecol,33.0,Cartao de Credito,49,A cada 3 meses
22,Masculino,Jaqueta,34.0,Venmo,25,Mensal
27,Masculino,Sueter,35.0,PayPal,21,A cada 3 meses
36,Masculino,Casaco,62.0,Cartao de Debito,12,A cada 3 meses
59,Masculino,Botas,75.0,Venmo,21,A cada 3 meses
62,Masculino,Agasalho,29.0,Transferencia Bancaria,35,Mensal
34,Masculino,Bone,28.0,Cartao de Debito,42,A cada 3 meses
59,Masculino,Camiseta,20.0,Dinheiro,3,A cada 3 meses
49,Masculino,Casaco,96.0,Cartao de Credito,11,Duas vezes/semana
18,Masculino,Vestido,43.0,Venmo,22,Trimestral
55,Masculino,Camisa,94.0,Transferencia Bancaria,47,Semanal
38,Masculino,Saia,81.0,Cartao de Credito,33,A cada 3 meses
50,Masculino,Joias,75.0,Venmo,50,Semanal
61,Masculino,Bone,81.0,Dinheiro,46,Mensal
48,Masculino,Shorts,92.0,Transferencia Bancaria,34,Quinzenal
22,Masculino,Cachecol,96.0,Dinheiro,33,Mensal
48,Masculino,Joias,71.0,PayPal,45,Quinzenal
57,Masculino,Óculos de Sol,50.0,Cartao de Debito,32,Duas vezes/semana
33,Masculino,Casaco,72.0,Transferencia Bancaria,47,Duas vezes/semana
58,Masculino,Jaqueta,28.0,Dinheiro,5,Trimestral
37,Masculino,Sueter,59.0,Dinheiro,49,Quinzenal
18,Masculino,Casaco,33.0,Transferencia Bancaria,48,Mensal
65,Masculino,Cachecol,59.0,Transferencia Bancaria,22,A cada 3 meses
62,Masculino,Cinto,30.0,Dinheiro,45,Anual
54,Masculino,Bone,85.0,PayPal,30,Trimestral
35,Masculino,Mochila,97.0,Cartao de Credito,43,Semanal
34,Masculino,Camiseta,36.0,Cartao de Credito,48,Trimestral
25,Masculino,Joias,85.0,PayPal,23,Quinzenal
53,Masculino,Óculos de Sol,62.0,PayPal,27,Duas vezes/semana
45,Masculino,Jeans,71.0,PayPal,7,Mensal
49,Masculino,Calca,21.0,Transferencia Bancaria,2,Semanal
40,Masculino,Mochila,61.0,Cartao de Debito,33,Duas vezes/semana
38,Masculino,Cachecol,58.0,Transferencia Bancaria,27,Quinzenal
44,Masculino,Sueter,80.0,Dinheiro,6,Quinzenal
68,Masculino,Joias,50.0,Cartao de Credito,20,Trimestral
60,Masculino,Tenis,48.0,PayPal,46,A cada 3 meses
25,Masculino,Joias,40.0,Cartao de Credito,25,Trimestral
19,Masculino,Casaco,34.0,Cartao de Debito,30,Trimestral
57,Masculino,Casaco,46.0,Cartao de Credito,48,Anual
58,Masculino,Óculos de Sol,27.0,Venmo,47,Semanal
49,Masculino,Bolsa,98.0,PayPal,27,Semanal
19,Masculino,Sueter,73.0,Dinheiro,45,Quinzenal
50,Masculino,Calca,28.0,Cartao de Debito,2,Semanal
30,Masculino,Luvas,76.0,Dinheiro,39,Quinzenal
52,Masculino,Sueter,83.0,Cartao de Credito,24,Quinzenal
35,Masculino,Agasalho,23.0,Cartao de Debito,8,Duas vezes/semana
35,Masculino,Bone,28.0,Transferencia Bancaria,8,Trimestral
33,Masculino,Camiseta,83.0,Cartao de Credito,6,A cada 3 meses
52,Masculino,Saia,96.0,Cartao de Credito,12,Quinzenal
69,Masculino,Tenis,62.0,Venmo,26,Semanal
27,Masculino,Shorts,25.0,Venmo,50,Quinzenal
66,Masculino,Agasalho,97.0,Cartao de Debito,2,Semanal
28,Masculino,Agasalho,61.0,Cartao de Debito,31,Duas vezes/semana
22,Masculino,Sapato,66.0,Transferencia Bancaria,4,Duas vezes/semana
69,Masculino,Agasalho,67.0,Cartao de Credito,32,Trimestral
28,Masculino,Óculos de Sol,80.0,Dinheiro,11,Duas vezes/semana
55,Masculino,Saia,25.0,Dinheiro,47,A cada 3 meses
30,Masculino,Bone,58.0,Transferencia Bancaria,37,Semanal
67,Masculino,Mochila,96.0,Venmo,39,Quinzenal
25,Masculino,Óculos de Sol,77.0,PayPal,24,Mensal
49,Masculino,Cinto,65.0,Cartao de Debito,11,A cada 3 meses
34,Masculino,Joias,36.0,Venmo,36,Semanal
22,Masculino,Tenis,84.0,Venmo,40,Mensal
63,Masculino,Camiseta,58.0,Dinheiro,25,Trimestral
70,Masculino,Bolsa,62.0,PayPal,12,Anual
36,Masculino,Bone,67.0,Cartao de Debito,38,Mensal
42,Masculino,Sueter,20.0,Cartao de Debito,40,Trimestral
27,Masculino,Sandalias,90.0,Cartao de Debito,10,Semanal
23,Masculino,Cachecol,58.0,Venmo,47,Quinzenal
50,Masculino,Camisa,53.0,Venmo,22,Mensal
56,Masculino,Luvas,30.0,PayPal,35,Mensal
37,Masculino,Agasalho,65.0,Cartao de Credito,46,Quinzenal
67,Masculino,Joias,41.0,Dinheiro,30,Duas vezes/semana
67,Masculino,Camisa,73.0,Cartao de Credito,20,Mensal
50,Masculino,Agasalho,98.0,PayPal,25,Quinzenal
36,Masculino,Sapato,36.0,PayPal,29,Semanal
62,Masculino,Camiseta,81.0,Transferencia Bancaria,2,A cada 3 meses
65,Masculino,Saia,90.0,PayPal,32,Trimestral
23,Masculino,Bolsa,83.0,Cartao de Debito,37,Mensal
46,Masculino,Camisa,91.0,Cartao de Credito,16,A cada 3 meses
18,Masculino,Calca,36.0,Venmo,32,Quinzenal
58,Masculino,Casaco,53.0,PayPal,42,Duas vezes/semana
31,Masculino,Jeans,39.0,Dinheiro,6,A cada 3 meses
39,Masculino,Luvas,33.0,Cartao de Debito,23,Quinzenal
69,Masculino,Camiseta,76.0,Dinheiro,27,Duas vezes/semana
68,Masculino,Botas,23.0,Dinheiro,43,Trimestral
41,Masculino,Jeans,54.0,PayPal,25,Quinzenal
31,Masculino,Tenis,89.0,Venmo,30,A cada 3 meses
48,Masculino,Tenis,38.0,Cartao de Debito,7,A cada 3 meses
59,Masculino,Bone,36.0,PayPal,17,Anual
34,Masculino,Calca,66.0,Transferencia Bancaria,10,Quinzenal
21,Masculino,Joias,42.0,Dinheiro,40,Anual
29,Masculino,Joias,36.0,Cartao de Debito,50,Duas vezes/semana
41,Masculino,Blusa,86.0,Transferencia Bancaria,24,Semanal
62,Masculino,Bolsa,49.0,Dinheiro,8,A cada 3 meses
27,Masculino,Camisa,41.0,PayPal,6,Trimestral
49,Masculino,Vestido,82.0,Venmo,44,Duas vezes/semana
67,Masculino,Camiseta,53.0,Cartao de Debito,47,Trimestral
20,Masculino,Sapato,21.0,PayPal,6,A cada 3 meses
37,Masculino,Cinto,66.0,Cartao de Credito,11,Trimestral
69,Masculino,Cinto,89.0,Venmo,41,Anual
66,Masculino,Bolsa,55.0,Cartao de Debito,46,A cada 3 meses
37,Masculino,Cachecol,42.0,Dinheiro,9,Duas vezes/semana
63,Masculino,Shorts,52.0,Transferencia Bancaria,37,Mensal
47,Masculino,Sandalias,92.0,Venmo,13,Semanal
26,Masculino,Calca,56.0,Cartao de Credito,24,Mensal
68,Masculino,Vestido,96.0,Cartao de Credito,47,Trimestral
51,Masculino,Camiseta,64.0,Dinheiro,21,A cada 3 meses
48,Masculino,Vestido,48.0,Dinheiro,22,Quinzenal
60,Masculino,Meias,83.0,PayPal,16,Trimestral
68,Masculino,Cachecol,91.0,PayPal,37,Quinzenal
25,Masculino,Mochila,94.0,Venmo,3,Anual
57,Masculino,Saia,62.0,Transferencia Bancaria,33,Duas vezes/semana
41,Masculino,Meias,55.0,Transferencia Bancaria,15,Anual
59,Masculino,Casaco,68.0,Cartao de Credito,42,Duas vezes/semana
44,Masculino,Joias,76.0,Cartao de Credito,42,Duas vezes/semana
42,Masculino,Mochila,31.0,Dinheiro,19,Duas vezes/semana
35,Masculino,Cinto,81.0,Cartao de Credito,26,Trimestral
36,Masculino,Vestido,83.0,Cartao de Credito,39,Trimestral
54,Masculino,Saia,21.0,Dinheiro,24,Mensal
37,Masculino,Vestido,22.0,Cartao de Credito,23,Anual
20,Masculino,Camiseta,33.0,Cartao de Debito,44,Anual
23,Masculino,Saia,23.0,Dinheiro,34,Mensal
61,Masculino,Shorts,96.0,Dinheiro,43,Trimestral
37,Masculino,Joias,21.0,Cartao de Debito,45,Trimestral
23,Masculino,Calca,39.0,PayPal,4,Semanal
63,Masculino,Cinto,73.0,Transferencia Bancaria,19,Anual
47,Masculino,Jeans,64.0,Cartao de Debito,29,Mensal
63,Masculino,Jeans,68.0,Dinheiro,27,Anual
56,Masculino,Bone,89.0,Dinheiro,37,A cada 3 meses
68,Masculino,Blusa,29.0,Cartao de Credito,11,Semanal
64,Masculino,Camisa,97.0,Venmo,28,Anual
62,Masculino,Camisa,45.0,Transferencia Bancaria,31,Semanal
34,Masculino,Camiseta,70.0,Cartao de Debito,50,Trimestral
49,Masculino,Casaco,56.0,PayPal,42,Trimestral
40,Masculino,Jaqueta,55.0,Venmo,18,Quinzenal
50,Masculino,Agasalho,46.0,Cartao de Debito,6,Quinzenal
25,Masculino,Cachecol,95.0,Dinheiro,33,Mensal
30,Masculino,Cinto,88.0,PayPal,13,Duas vezes/semana
54,Masculino,Tenis,92.0,Cartao de Debito,26,Anual
40,Masculino,Meias,49.0,Transferencia Bancaria,17,Anual
49,Masculino,Sandalias,89.0,Cartao de Credito,3,Semanal
27,Masculino,Casaco,22.0,Transferencia Bancaria,7,Semanal
27,Masculino,Sapato,61.0,Dinheiro,46,Quinzenal
48,Masculino,Cachecol,29.0,Transferencia Bancaria,14,A cada 3 meses
40,Masculino,Tenis,82.0,Transferencia Bancaria,23,Anual
67,Masculino,Cinto,94.0,Transferencia Bancaria,20,A cada 3 meses
52,Masculino,Bolsa,99.0,Cartao de Credito,38,Quinzenal
22,Masculino,Bolsa,59.0,Dinheiro,16,A cada 3 meses
62,Masculino,Botas,90.0,Venmo,48,A cada 3 meses
20,Masculino,Botas,100.0,Dinheiro,8,Anual
41,Masculino,Calca,62.0,PayPal,16,Mensal
34,Masculino,Óculos de Sol,78.0,PayPal,5,Trimestral
23,Masculino,Agasalho,94.0,Venmo,14,A cada 3 meses
32,Masculino,Sapato,74.0,Venmo,18,Semanal
68,Masculino,Bolsa,52.0,Dinheiro,14,A cada 3 meses
30,Masculino,Jaqueta,81.0,Dinheiro,5,A cada 3 meses
66,Masculino,Blusa,20.0,Dinheiro,15,A cada 3 meses
62,Masculino,Calca,32.0,PayPal,3,A cada 3 meses
50,Masculino,Botas,63.0,Cartao de Debito,12,A cada 3 meses
55,Masculino,Botas,79.0,Venmo,43,A cada 3 meses
19,Masculino,Sueter,23.0,Transferencia Bancaria,35,Duas vezes/semana
67,Masculino,Luvas,64.0,Transferencia Bancaria,36,Trimestral
18,Masculino,Meias,69.0,Transferencia Bancaria,3,Trimestral
58,Masculino,Jeans,69.0,Transferencia Bancaria,27,Anual
69,Masculino,Calca,24.0,Cartao de Credito,21,Semanal
62,Masculino,Shorts,50.0,Transferencia Bancaria,18,Semanal
28,Masculino,Luvas,97.0,Cartao de Credito,16,Semanal
53,Masculino,Sandalias,91.0,PayPal,18,Duas vezes/semana
27,Masculino,Blusa,37.0,Venmo,19,Duas vezes/semana
55,Masculino,Jaqueta,55.0,Venmo,1,Anual
34,Masculino,Joias,52.0,Venmo,39,Anual
25,Masculino,Bone,80.0,Cartao de Debito,49,Mensal
66,Masculino,Meias,79.0,Cartao de Credito,43,Quinzenal
57,Masculino,Bolsa,23.0,Dinheiro,31,A cada 3 meses
46,Masculino,Calca,73.0,Dinheiro,40,A cada 3 meses
38,Masculino,Luvas,99.0,Dinheiro,2,Duas vezes/semana
23,Masculino,Sueter,22.0,Transferencia Bancaria,46,A cada 3 meses
42,Masculino,Bone,68.0,PayPal,35,A cada 3 meses
25,Masculino,Vestido,92.0,Cartao de Credito,42,Trimestral
55,Masculino,Calca,77.0,PayPal,3,Quinzenal
62,Masculino,Casaco,37.0,PayPal,32,A cada 3 meses
41,Masculino,Cachecol,79.0,Cartao de Debito,48,Anual
58,Masculino,Agasalho,51.0,Dinheiro,34,Semanal
56,Masculino,Meias,27.0,Transferencia Bancaria,15,Trimestral
25,Masculino,Blusa,23.0,PayPal,22,Anual
70,Masculino,Meias,76.0,Dinheiro,2,Mensal
42,Masculino,Vestido,31.0,Transferencia Bancaria,30,Semanal
27,Masculino,Agasalho,60.0,Cartao de Credito,27,Mensal
65,Masculino,Camiseta,99.0,Transferencia Bancaria,18,Duas vezes/semana
62,Masculino,Bone,37.0,Cartao de Credito,8,Anual
62,Masculino,Botas,50.0,PayPal,48,Quinzenal
52,Masculino,Jeans,26.0,Dinheiro,24,Mensal
56,Masculino,Shorts,86.0,Cartao de Debito,43,Mensal
28,Masculino,Sandalias,41.0,Venmo,8,Trimestral
39,Masculino,Sandalias,23.0,Venmo,49,Anual
54,Masculino,Tenis,56.0,Dinheiro,2,Duas vezes/semana
30,Masculino,Bone,68.0,Cartao de Credito,38,Quinzenal
45,Masculino,Casaco,48.0,Dinheiro,4,Quinzenal
68,Masculino,Vestido,67.0,Dinheiro,31,A cada 3 meses
47,Masculino,Botas,87.0,Cartao de Debito,34,A cada 3 meses
68,Masculino,Saia,64.0,Transferencia Bancaria,45,Mensal
63,Masculino,Camisa,93.0,Venmo,30,Trimestral
20,Masculino,Camisa,29.0,Venmo,2,Quinzenal
29,Masculino,Botas,62.0,Cartao de Debito,44,Mensal
41,Masculino,Agasalho,70.0,Transferencia Bancaria,1,Duas vezes/semana
52,Masculino,Sueter,92.0,Venmo,1,Duas vezes/semana
32,Masculino,Camisa,79.0,Transferencia Bancaria,27,Semanal
20,Masculino,Blusa,31.0,Dinheiro,14,A cada 3 meses
47,Masculino,Camiseta,83.0,Cartao de Credito,41,Semanal
23,Masculino,Jaqueta,88.0,Venmo,25,Duas vezes/semana
43,Masculino,Joias,53.0,PayPal,47,Trimestral
67,Masculino,Agasalho,98.0,Dinheiro,20,Anual
70,Masculino,Joias,57.0,Dinheiro,42,Anual
35,Masculino,Sandalias,80.0,Cartao de Debito,16,Mensal
41,Masculino,Jeans,29.0,Dinheiro,32,A cada 3 meses
54,Masculino,Bone,73.0,Dinheiro,37,Trimestral
55,Masculino,Sueter,32.0,PayPal,1,Mensal
51,Masculino,Botas,68.0,PayPal,37,Semanal
19,Masculino,Blusa,97.0,Cartao de Debito,5,Trimestral
28,Masculino,Shorts,98.0,Cartao de Credito,31,Quinzenal
63,Masculino,Agasalho,56.0,PayPal,18,Anual
30,Masculino,Calca,78.0,PayPal,39,A cada 3 meses
29,Masculino,Cinto,81.0,Dinheiro,8,Duas vezes/semana
24,Masculino,Camisa,68.0,Cartao de Debito,20,Mensal
69,Masculino,Camisa,94.0,Cartao de Credito,23,A cada 3 meses
65,Masculino,Vestido,93.0,Transferencia Bancaria,38,Quinzenal
64,Masculino,Luvas,99.0,Venmo,45,Quinzenal
40,Masculino,Luvas,49.0,Transferencia Bancaria,44,Quinzenal
24,Masculino,Jeans,28.0,Venmo,20,Mensal
66,Masculino,Cinto,93.0,Venmo,34,Duas vezes/semana
35,Masculino,Jaqueta,24.0,Cartao de Debito,10,Semanal
67,Masculino,Saia,35.0,Dinheiro,3,Anual
69,Masculino,Sandalias,68.0,Venmo,23,Quinzenal
26,Masculino,Cinto,61.0,Cartao de Debito,42,Anual
23,Masculino,Sueter,74.0,Transferencia Bancaria,30,Anual
27,Masculino,Camisa,64.0,Cartao de Credito,21,A cada 3 meses
30,Masculino,Tenis,60.0,PayPal,50,Semanal
48,Masculino,Jeans,29.0,PayPal,16,Duas vezes/semana
44,Masculino,Sandalias,85.0,Cartao de Debito,32,Anual
29,Masculino,Calca,81.0,Dinheiro,14,Quinzenal
29,Masculino,Cinto,23.0,Transferencia Bancaria,42,Duas vezes/semana
67,Masculino,Camiseta,100.0,Dinheiro,47,A cada 3 meses
42,Masculino,Camisa,54.0,Venmo,21,Semanal
