Id,Idade,Genero,Item_Comprado,Valor_Compra(R$),Forma_Pagamento,Compras_Anteriores,Frequencia_Compras
900,65,Masculino,Sueter,58.0,Cartao de Debito,20,Anual
901,54,Masculino,Bone,98.0,Dinheiro,42,Trimestral
902,60,Masculino,Cachecol,68.0,Cartao de Debito,34,Mensal
903,43,Masculino,Bone,44.0,Cartao de Debito,5,Mensal
904,44,Masculino,Jaqueta,45.0,Transferencia Bancaria,3,Trimestral
905,69,Masculino,Camiseta,99.0,Cartao de Credito,46,A cada 3 meses
906,46,Masculino,Vestido,68.0,Cartao de Credito,16,Anual
907,41,Masculino,Calca,56.0,Cartao de Debito,21,Duas vezes/semana
908,32,Masculino,Sueter,43.0,PayPal,34,Duas vezes/semana
909,26,Masculino,Óculos de Sol,99.0,Dinheiro,9,A cada 3 meses
910,61,Masculino,Cinto,56.0,Cartao de Debito,36,Semanal
911,49,Masculino,Agasalho,25.0,Transferencia Bancaria,22,Mensal
912,53,Masculino,Calca,74.0,Dinheiro,2,Trimestral
913,24,Masculino,Agasalho,56.0,Transferencia Bancaria,32,Mensal
914,37,Masculino,Tenis,47.0,Transferencia Bancaria,29,A cada 3 meses
915,43,Masculino,Vestido,67.0,PayPal,27,A cada 3 meses
916,31,Masculino,Vestido,22.0,Cartao de Debito,33,Quinzenal
917,49,Masculino,Jeans,34.0,Dinheiro,16,Mensal
918,69,Masculino,Sueter,64.0,Cartao de Debito,11,Trimestral
919,65,Masculino,Shorts,42.0,Dinheiro,11,Quinzenal
920,41,Masculino,Camisa,82.0,PayPal,17,Duas vezes/semana
921,37,Masculino,Cinto,81.0,Cartao de Credito,37,Semanal
922,70,Masculino,Casaco,24.0,Venmo,18,Semanal
923,63,Masculino,Tenis,60.0,Venmo,13,Mensal
924,55,Masculino,Camisa,24.0,PayPal,7,Semanal
925,52,Masculino,Meias,78.0,Cartao de Credito,37,Trimestral
926,22,Masculino,Jeans,88.0,Cartao de Credito,8,Mensal
927,54,Masculino,Jeans,63.0,PayPal,11,Duas vezes/semana
928,28,Masculino,Tenis,78.0,Transferencia Bancaria,8,Duas vezes/semana
929,67,Masculino,Vestido,37.0,Transferencia Bancaria,31,A cada 3 meses
930,59,Masculino,Botas,94.0,Venmo,26,Quinzenal
931,26,Masculino,Camiseta,78.0,Cartao de Credito,20,Duas vezes/semana
932,24,Masculino,Casaco,36.0,Dinheiro,24,Quinzenal
933,62,Masculino,Saia,24.0,Venmo,45,Duas vezes/semana
934,70,Masculino,Tenis,84.0,Cartao de Debito,33,Mensal
935,45,Masculino,Jeans,47.0,Transferencia Bancaria,21,Mensal
936,58,Masculino,Agasalho,51.0,Cartao de Credito,2,Quinzenal
937,31,Masculino,Sapato,84.0,Cartao de Debito,28,Semanal
938,32,Masculino,Shorts,24.0,Cartao de Debito,18,Trimestral
939,36,Masculino,Blusa,97.0,Transferencia Bancaria,21,Quinzenal
940,25,Masculino,Camiseta,89.0,Venmo,24,Mensal
941,48,Masculino,Cinto,44.0,PayPal,15,A cada 3 meses
942,39,Masculino,Bolsa,35.0,Transferencia Bancaria,38,A cada 3 meses
943,26,Masculino,Vestido,91.0,Dinheiro,38,Duas vezes/semana
944,32,Masculino,Bone,63.0,PayPal,13,Quinzenal
945,54,Masculino,Cinto,97.0,Cartao de Debito,39,Duas vezes/semana
946,38,Masculino,Botas,38.0,Cartao de Debito,8,A cada 3 meses
947,46,Masculino,Casaco,24.0,PayPal,4,Trimestral
948,57,Masculino,Blusa,32.0,Dinheiro,6,A cada 3 meses
949,49,Masculino,Bone,90.0,Venmo,11,A cada 3 meses
950,33,Masculino,Jeans,36.0,Dinheiro,49,Mensal
951,54,Masculino,Mochila,37.0,Dinheiro,30,Trimestral
952,47,Masculino,Vestido,51.0,Venmo,34,Mensal
953,36,Masculino,Bone,71.0,Transferencia Bancaria,28,Mensal
954,68,Masculino,Óculos de Sol,50.0,Cartao de Credito,36,Trimestral
955,60,Masculino,Bone,74.0,Venmo,18,A cada 3 meses
956,55,Masculino,Vestido,75.0,Venmo,4,Mensal
957,29,Masculino,Camisa,99.0,Venmo,42,Trimestral
958,38,Masculino,Cachecol,23.0,Transferencia Bancaria,11,Trimestral
959,70,Masculino,Tenis,53.0,Dinheiro,31,Duas vezes/semana
960,36,Masculino,Saia,99.0,Dinheiro,12,Quinzenal
961,18,Masculino,Joias,48.0,Cartao de Debito,20,Trimestral
962,62,Masculino,Botas,72.0,Venmo,37,Trimestral
963,29,Masculino,Óculos de Sol,64.0,Dinheiro,26,Quinzenal
964,21,Masculino,Botas,63.0,Dinheiro,14,Semanal
965,42,Masculino,Sandalias,51.0,Transferencia Bancaria,12,Duas vezes/semana
966,43,Masculino,Botas,55.0,Cartao de Debito,10,Anual
967,58,Masculino,Vestido,55.0,Dinheiro,19,Anual
968,27,Masculino,Agasalho,26.0,Cartao de Debito,4,Semanal
969,57,Masculino,Shorts,67.0,Cartao de Debito,48,Trimestral
970,40,Masculino,Casaco,31.0,Cartao de Debito,37,Mensal
971,45,Masculino,Jeans,66.0,PayPal,4,Mensal
972,47,Masculino,Óculos de Sol,67.0,Transferencia Bancaria,15,Semanal
973,61,Masculino,Tenis,61.0,Venmo,33,Semanal
974,60,Masculino,Jaqueta,75.0,Venmo,30,Trimestral
975,69,Masculino,Saia,90.0,Cartao de Credito,23,Mensal
976,58,Masculino,Sueter,40.0,Transferencia Bancaria,2,Semanal
977,34,Masculino,Camiseta,90.0,PayPal,50,A cada 3 meses
978,20,Masculino,Cinto,20.0,Cartao de Credito,34,Duas vezes/semana
979,56,Masculino,Luvas,40.0,Dinheiro,33,Semanal
980,64,Masculino,Bone,33.0,Venmo,34,Mensal
981,56,Masculino,Botas,98.0,Transferencia Bancaria,39,A cada 3 meses
982,27,Masculino,Cinto,42.0,Cartao de Debito,47,Trimestral
983,35,Masculino,Casaco,62.0,Venmo,37,Mensal
984,24,Masculino,Bone,45.0,Cartao de Credito,40,Duas vezes/semana
985,26,Masculino,Sapato,78.0,Dinheiro,8,Duas vezes/semana
986,32,Masculino,Bolsa,80.0,Cartao de Credito,12,Anual
987,54,Masculino,Cachecol,96.0,Cartao de Credito,36,Mensal
988,62,Masculino,Bolsa,47.0,PayPal,48,Semanal
989,50,Masculino,Calca,84.0,Venmo,47,Quinzenal
990,70,Masculino,Sapato,31.0,Transferencia Bancaria,2,Mensal
991,48,Masculino,Óculos de Sol,63.0,PayPal,24,Semanal
992,20,Masculino,Shorts,97.0,Cartao de Debito,40,Duas vezes/semana
993,46,Masculino,Jaqueta,99.0,Cartao de Credito,50,Semanal
994,51,Masculino,Sandalias,90.0,Dinheiro,25,Semanal
995,53,Masculino,Sapato,68.0,PayPal,20,Mensal
996,44,Masculino,Joias,80.0,Venmo,10,Semanal
997,29,Masculino,Sandalias,91.0,Transferencia Bancaria,32,Trimestral
998,64,Masculino,Calca,30.0,Cartao de Debito,31,Quinzenal
999,51,Masculino,Sapato,90.0,Venmo,48,Duas vezes/semana
1000,50,Masculino,Meias,28.0,Venmo,23,Mensal
1001,43,Masculino,Meias,46.0,Cartao de Credito,1,Duas vezes/semana
1002,61,Masculino,Vestido,60.0,Cartao de Credito,4,Quinzenal
1003,55,Masculino,Sapato,59.0,Cartao de Credito,3,Duas vezes/semana
1004,56,Masculino,Bone,68.0,Dinheiro,3,Duas vezes/semana
1005,33,Masculino,Mochila,79.0,Dinheiro,44,Anual
1006,43,Masculino,Mochila,94.0,Cartao de Credito,5,Duas vezes/semana
1007,21,Masculino,Calca,83.0,Cartao de Credito,50,Trimestral
1008,58,Masculino,Luvas,62.0,Venmo,2,Anual
1009,41,Masculino,Cachecol,85.0,Dinheiro,29,Anual
1010,39,Masculino,Agasalho,30.0,Transferencia Bancaria,11,Anual
1011,54,Masculino,Jeans,24.0,PayPal,37,Quinzenal
1012,43,Masculino,Mochila,25.0,PayPal,32,Quinzenal
1013,28,Masculino,Sandalias,37.0,Dinheiro,27,Anual
1014,59,Masculino,Cinto,69.0,Transferencia Bancaria,31,Duas vezes/semana
1015,28,Masculino,Sapato,97.0,Transferencia Bancaria,36,Quinzenal
1016,68,Masculino,Luvas,24.0,Cartao de Debito,34,Semanal
1017,20,Masculino,Cinto,30.0,Dinheiro,15,A cada 3 meses
1018,21,Masculino,Jaqueta,53.0,Dinheiro,14,Anual
1019,50,Masculino,Vestido,70.0,Cartao de Credito,46,Semanal
1020,32,Masculino,Camisa,76.0,Cartao de Debito,33,Duas vezes/semana
1021,24,Masculino,Cachecol,95.0,Transferencia Bancaria,41,Anual
1022,55,Masculino,Casaco,51.0,Cartao de Credito,39,Semanal
1023,61,Masculino,Bolsa,41.0,Dinheiro,7,Anual
1024,61,Masculino,Óculos de Sol,71.0,Transferencia Bancaria,29,A cada 3 meses
1025,28,Masculino,Camiseta,66.0,Cartao de Debito,18,Trimestral
1026,60,Masculino,Camisa,84.0,Transferencia Bancaria,15,Anual
1027,49,Masculino,Bolsa,95.0,Venmo,39,Duas vezes/semana
1028,33,Masculino,Joias,90.0,Dinheiro,11,Mensal
1029,45,Masculino,Agasalho,36.0,Venmo,4,Quinzenal
1030,29,Masculino,Luvas,22.0,Cartao de Credito,33,Duas vezes/semana
1031,58,Masculino,Casaco,89.0,Cartao de Credito,37,Trimestral
1032,22,Masculino,Sandalias,50.0,Dinheiro,32,Trimestral
1033,55,Masculino,Botas,36.0,Transferencia Bancaria,44,Trimestral
1034,19,Masculino,Calca,52.0,Cartao de Credito,41,Trimestral
1035,68,Masculino,Meias,29.0,Venmo,44,Semanal
1036,61,Masculino,Blusa,89.0,Venmo,32,Anual
1037,68,Masculino,Bolsa,47.0,Cartao de Credito,13,Mensal
1038,52,Masculino,Joias,25.0,Transferencia Bancaria,48,Trimestral
1039,41,Masculino,Calca,74.0,Transferencia Bancaria,3,Semanal
1040,29,Masculino,Cinto,46.0,PayPal,39,Mensal
1041,68,Masculino,Jeans,22.0,Venmo,7,Quinzenal
1042,36,Masculino,Camisa,25.0,Venmo,11,Quinzenal
1043,55,Masculino,Cinto,80.0,Venmo,47,Semanal
1044,28,Masculino,Jeans,76.0,Transferencia Bancaria,28,Quinzenal
1045,39,Masculino,Jeans,30.0,Cartao de Credito,17,A cada 3 meses
1046,54,Masculino,Sueter,79.0,Dinheiro,11,Duas vezes/semana
1047,40,Masculino,Tenis,22.0,Cartao de Credito,12,Anual
1048,31,Masculino,Meias,36.0,Cartao de Debito,7,Quinzenal
1049,30,Masculino,Meias,77.0,Dinheiro,19,Quinzenal
1050,45,Masculino,Óculos de Sol,33.0,Cartao de Credito,24,Trimestral
1051,48,Masculino,Tenis,64.0,Cartao de Credito,19,Mensal
1052,45,Masculino,Meias,53.0,PayPal,39,Anual
1053,60,Masculino,Sapato,36.0,Venmo,1,Quinzenal
1054,59,Masculino,Blusa,70.0,Dinheiro,10,Duas vezes/semana
1055,18,Masculino,Shorts,96.0,Cartao de Debito,48,Trimestral
1056,70,Masculino,Jaqueta,27.0,PayPal,24,Anual
1057,20,Masculino,Sueter,64.0,Cartao de Debito,42,Quinzenal
1058,65,Masculino,Jaqueta,23.0,Transferencia Bancaria,20,Semanal
1059,29,Masculino,Cachecol,33.0,Cartao de Credito,49,A cada 3 meses
1060,22,Masculino,Jaqueta,34.0,Venmo,25,Mensal
1061,27,Masculino,Sueter,35.0,PayPal,21,A cada 3 meses
1062,36,Masculino,Casaco,62.0,Cartao de Debito,12,A cada 3 meses
1063,59,Masculino,Botas,75.0,Venmo,21,A cada 3 meses
1064,62,Masculino,Agasalho,29.0,Transferencia Bancaria,35,Mensal
1065,34,Masculino,Bone,28.0,Cartao de Debito,42,A cada 3 meses
1066,59,Masculino,Camiseta,20.0,Dinheiro,3,A cada 3 meses
1067,49,Masculino,Casaco,96.0,Cartao de Credito,11,Duas vezes/semana
1068,18,Masculino,Vestido,43.0,Venmo,22,Trimestral
1069,55,Masculino,Camisa,94.0,Transferencia Bancaria,47,Semanal
1070,38,Masculino,Saia,81.0,Cartao de Credito,33,A cada 3 meses
1071,50,Masculino,Joias,75.0,Venmo,50,Semanal
1072,61,Masculino,Bone,81.0,Dinheiro,46,Mensal
1073,48,Masculino,Shorts,92.0,Transferencia Bancaria,34,Quinzenal
1074,22,Masculino,Cachecol,96.0,Dinheiro,33,Mensal
1075,48,Masculino,Joias,71.0,PayPal,45,Quinzenal
1076,57,Masculino,Óculos de Sol,50.0,Cartao de Debito,32,Duas vezes/semana
1077,33,Masculino,Casaco,72.0,Transferencia Bancaria,47,Duas vezes/semana
1078,58,Masculino,Jaqueta,28.0,Dinheiro,5,Trimestral
1079,37,Masculino,Sueter,59.0,Dinheiro,49,Quinzenal
1080,18,Masculino,Casaco,33.0,Transferencia Bancaria,48,Mensal
1081,65,Masculino,Cachecol,59.0,Transferencia Bancaria,22,A cada 3 meses
1082,62,Masculino,Cinto,30.0,Dinheiro,45,Anual
1083,54,Masculino,Bone,85.0,PayPal,30,Trimestral
1084,35,Masculino,Mochila,97.0,Cartao de Credito,43,Semanal
1085,34,Masculino,Camiseta,36.0,Cartao de Credito,48,Trimestral
1086,25,Masculino,Joias,85.0,PayPal,23,Quinzenal
1087,53,Masculino,Óculos de Sol,62.0,PayPal,27,Duas vezes/semana
1088,45,Masculino,Jeans,71.0,PayPal,7,Mensal
1089,49,Masculino,Calca,21.0,Transferencia Bancaria,2,Semanal
1090,40,Masculino,Mochila,61.0,Cartao de Debito,33,Duas vezes/semana
1091,38,Masculino,Cachecol,58.0,Transferencia Bancaria,27,Quinzenal
1092,44,Masculino,Sueter,80.0,Dinheiro,6,Quinzenal
1093,68,Masculino,Joias,50.0,Cartao de Credito,20,Trimestral
1094,60,Masculino,Tenis,48.0,PayPal,46,A cada 3 meses
1095,25,Masculino,Joias,40.0,Cartao de Credito,25,Trimestral
1096,19,Masculino,Casaco,34.0,Cartao de Debito,30,Trimestral
1097,57,Masculino,Casaco,46.0,Cartao de Credito,48,Anual
1098,58,Masculino,Óculos de Sol,27.0,Venmo,47,Semanal
1099,49,Masculino,Bolsa,98.0,PayPal,27,Semanal
1100,19,Masculino,Sueter,73.0,Dinheiro,45,Quinzenal
1101,50,Masculino,Calca,28.0,Cartao de Debito,2,Semanal
1102,30,Masculino,Luvas,76.0,Dinheiro,39,Quinzenal
1103,52,Masculino,Sueter,83.0,Cartao de Credito,24,Quinzenal
1104,35,Masculino,Agasalho,23.0,Cartao de Debito,8,Duas vezes/semana
1105,35,Masculino,Bone,28.0,Transferencia Bancaria,8,Trimestral
1106,33,Masculino,Camiseta,83.0,Cartao de Credito,6,A cada 3 meses
1107,52,Masculino,Saia,96.0,Cartao de Credito,12,Quinzenal
1108,69,Masculino,Tenis,62.0,Venmo,26,Semanal
1109,27,Masculino,Shorts,25.0,Venmo,50,Quinzenal
1110,66,Masculino,Agasalho,97.0,Cartao de Debito,2,Semanal
1111,28,Masculino,Agasalho,61.0,Cartao de Debito,31,Duas vezes/semana
1112,22,Masculino,Sapato,66.0,Transferencia Bancaria,4,Duas vezes/semana
1113,69,Masculino,Agasalho,67.0,Cartao de Credito,32,Trimestral
1114,28,Masculino,Óculos de Sol,80.0,Dinheiro,11,Duas vezes/semana
1115,55,Masculino,Saia,25.0,Dinheiro,47,A cada 3 meses
1116,30,Masculino,Bone,58.0,Transferencia Bancaria,37,Semanal
1117,67,Masculino,Mochila,96.0,Venmo,39,Quinzenal
1118,25,Masculino,Óculos de Sol,77.0,PayPal,24,Mensal
1119,49,Masculino,Cinto,65.0,Cartao de Debito,11,A cada 3 meses
1120,34,Masculino,Joias,36.0,Venmo,36,Semanal
1121,22,Masculino,Tenis,84.0,Venmo,40,Mensal
1122,63,Masculino,Camiseta,58.0,Dinheiro,25,Trimestral
1123,70,Masculino,Bolsa,62.0,PayPal,12,Anual
1124,36,Masculino,Bone,67.0,Cartao de Debito,38,Mensal
1125,42,Masculino,Sueter,20.0,Cartao de Debito,40,Trimestral
1126,27,Masculino,Sandalias,90.0,Cartao de Debito,10,Semanal
1127,23,Masculino,Cachecol,58.0,Venmo,47,Quinzenal
1128,50,Masculino,Camisa,53.0,Venmo,22,Mensal
1129,56,Masculino,Luvas,30.0,PayPal,35,Mensal
1130,37,Masculino,Agasalho,65.0,Cartao de Credito,46,Quinzenal
1131,67,Masculino,Joias,41.0,Dinheiro,30,Duas vezes/semana
1132,67,Masculino,Camisa,73.0,Cartao de Credito,20,Mensal
1133,50,Masculino,Agasalho,98.0,PayPal,25,Quinzenal
1134,36,Masculino,Sapato,36.0,PayPal,29,Semanal
1135,62,Masculino,Camiseta,81.0,Transferencia Bancaria,2,A cada 3 meses
1136,65,Masculino,Saia,90.0,PayPal,32,Trimestral
1137,23,Masculino,Bolsa,83.0,Cartao de Debito,37,Mensal
1138,46,Masculino,Camisa,91.0,Cartao de Credito,16,A cada 3 meses
1139,18,Masculino,Calca,36.0,Venmo,32,Quinzenal
1140,58,Masculino,Casaco,53.0,PayPal,42,Duas vezes/semana
1141,31,Masculino,Jeans,39.0,Dinheiro,6,A cada 3 meses
1142,39,Masculino,Luvas,33.0,Cartao de Debito,23,Quinzenal
1143,69,Masculino,Camiseta,76.0,Dinheiro,27,Duas vezes/semana
1144,68,Masculino,Botas,23.0,Dinheiro,43,Trimestral
1145,41,Masculino,Jeans,54.0,PayPal,25,Quinzenal
1146,31,Masculino,Tenis,89.0,Venmo,30,A cada 3 meses
1147,48,Masculino,Tenis,38.0,Cartao de Debito,7,A cada 3 meses
1148,59,Masculino,Bone,36.0,PayPal,17,Anual
1149,34,Masculino,Calca,66.0,Transferencia Bancaria,10,Quinzenal
1150,21,Masculino,Joias,42.0,Dinheiro,40,Anual
1151,29,Masculino,Joias,36.0,Cartao de Debito,50,Duas vezes/semana
1152,41,Masculino,Blusa,86.0,Transferencia Bancaria,24,Semanal
1153,62,Masculino,Bolsa,49.0,Dinheiro,8,A cada 3 meses
1154,27,Masculino,Camisa,41.0,PayPal,6,Trimestral
1155,49,Masculino,Vestido,82.0,Venmo,44,Duas vezes/semana
1156,67,Masculino,Camiseta,53.0,Cartao de Debito,47,Trimestral
1157,20,Masculino,Sapato,21.0,PayPal,6,A cada 3 meses
1158,37,Masculino,Cinto,66.0,Cartao de Credito,11,Trimestral
1159,69,Masculino,Cinto,89.0,Venmo,41,Anual
1160,66,Masculino,Bolsa,55.0,Cartao de Debito,46,A cada 3 meses
1161,37,Masculino,Cachecol,42.0,Dinheiro,9,Duas vezes/semana
1162,63,Masculino,Shorts,52.0,Transferencia Bancaria,37,Mensal
1163,47,Masculino,Sandalias,92.0,Venmo,13,Semanal
1164,26,Masculino,Calca,56.0,Cartao de Credito,24,Mensal
1165,68,Masculino,Vestido,96.0,Cartao de Credito,47,Trimestral
1166,51,Masculino,Camiseta,64.0,Dinheiro,21,A cada 3 meses
1167,48,Masculino,Vestido,48.0,Dinheiro,22,Quinzenal
1168,60,Masculino,Meias,83.0,PayPal,16,Trimestral
1169,68,Masculino,Cachecol,91.0,PayPal,37,Quinzenal
1170,25,Masculino,Mochila,94.0,Venmo,3,Anual
1171,57,Masculino,Saia,62.0,Transferencia Bancaria,33,Duas vezes/semana
1172,41,Masculino,Meias,55.0,Transferencia Bancaria,15,Anual
1173,59,Masculino,Casaco,68.0,Cartao de Credito,42,Duas vezes/semana
1174,44,Masculino,Joias,76.0,Cartao de Credito,42,Duas vezes/semana
1175,42,Masculino,Mochila,31.0,Dinheiro,19,Duas vezes/semana
1176,35,Masculino,Cinto,81.0,Cartao de Credito,26,Trimestral
1177,36,Masculino,Vestido,83.0,Cartao de Credito,39,Trimestral
1178,54,Masculino,Saia,21.0,Dinheiro,24,Mensal
1179,37,Masculino,Vestido,22.0,Cartao de Credito,23,Anual
1180,20,Masculino,Camiseta,33.0,Cartao de Debito,44,Anual
1181,23,Masculino,Saia,23.0,Dinheiro,34,Mensal
1182,61,Masculino,Shorts,96.0,Dinheiro,43,Trimestral
1183,37,Masculino,Joias,21.0,Cartao de Debito,45,Trimestral
1184,23,Masculino,Calca,39.0,PayPal,4,Semanal
1185,63,Masculino,Cinto,73.0,Transferencia Bancaria,19,Anual
1186,47,Masculino,Jeans,64.0,Cartao de Debito,29,Mensal
1187,63,Masculino,Jeans,68.0,Dinheiro,27,Anual
1188,56,Masculino,Bone,89.0,Dinheiro,37,A cada 3 meses
1189,68,Masculino,Blusa,29.0,Cartao de Credito,11,Semanal
1190,64,Masculino,Camisa,97.0,Venmo,28,Anual
1191,62,Masculino,Camisa,45.0,Transferencia Bancaria,31,Semanal
1192,34,Masculino,Camiseta,70.0,Cartao de Debito,50,Trimestral
1193,49,Masculino,Casaco,56.0,PayPal,42,Trimestral
1194,40,Masculino,Jaqueta,55.0,Venmo,18,Quinzenal
1195,50,Masculino,Agasalho,46.0,Cartao de Debito,6,Quinzenal
1196,25,Masculino,Cachecol,95.0,Dinheiro,33,Mensal
1197,30,Masculino,Cinto,88.0,PayPal,13,Duas vezes/semana
1198,54,Masculino,Tenis,92.0,Cartao de Debito,26,Anual
1199,40,Masculino,Meias,49.0,Transferencia Bancaria,17,Anual
1200,49,Masculino,Sandalias,89.0,Cartao de Credito,3,Semanal
1201,27,Masculino,Casaco,22.0,Transferencia Bancaria,7,Semanal
1202,27,Masculino,Sapato,61.0,Dinheiro,46,Quinzenal
1203,48,Masculino,Cachecol,29.0,Transferencia Bancaria,14,A cada 3 meses
1204,40,Masculino,Tenis,82.0,Transferencia Bancaria,23,Anual
1205,67,Masculino,Cinto,94.0,Transferencia Bancaria,20,A cada 3 meses
1206,52,Masculino,Bolsa,99.0,Cartao de Credito,38,Quinzenal
1207,22,Masculino,Bolsa,59.0,Dinheiro,16,A cada 3 meses
1208,62,Masculino,Botas,90.0,Venmo,48,A cada 3 meses
1209,20,Masculino,Botas,100.0,Dinheiro,8,Anual
1210,41,Masculino,Calca,62.0,PayPal,16,Mensal
1211,34,Masculino,Óculos de Sol,78.0,PayPal,5,Trimestral
1212,23,Masculino,Agasalho,94.0,Venmo,14,A cada 3 meses
1213,32,Masculino,Sapato,74.0,Venmo,18,Semanal
1214,68,Masculino,Bolsa,52.0,Dinheiro,14,A cada 3 meses
1215,30,Masculino,Jaqueta,81.0,Dinheiro,5,A cada 3 meses
1216,66,Masculino,Blusa,20.0,Dinheiro,15,A cada 3 meses
1217,62,Masculino,Calca,32.0,PayPal,3,A cada 3 meses
1218,50,Masculino,Botas,63.0,Cartao de Debito,12,A cada 3 meses
1219,55,Masculino,Botas,79.0,Venmo,43,A cada 3 meses
1220,19,Masculino,Sueter,23.0,Transferencia Bancaria,35,Duas vezes/semana
1221,67,Masculino,Luvas,64.0,Transferencia Bancaria,36,Trimestral
1222,18,Masculino,Meias,69.0,Transferencia Bancaria,3,Trimestral
1223,58,Masculino,Jeans,69.0,Transferencia Bancaria,27,Anual
1224,69,Masculino,Calca,24.0,Cartao de Credito,21,Semanal
1225,62,Masculino,Shorts,50.0,Transferencia Bancaria,18,Semanal
1226,28,Masculino,Luvas,97.0,Cartao de Credito,16,Semanal
1227,53,Masculino,Sandalias,91.0,PayPal,18,Duas vezes/semana
1228,27,Masculino,Blusa,37.0,Venmo,19,Duas vezes/semana
1229,55,Masculino,Jaqueta,55.0,Venmo,1,Anual
1230,34,Masculino,Joias,52.0,Venmo,39,Anual
1231,25,Masculino,Bone,80.0,Cartao de Debito,49,Mensal
1232,66,Masculino,Meias,79.0,Cartao de Credito,43,Quinzenal
1233,57,Masculino,Bolsa,23.0,Dinheiro,31,A cada 3 meses
1234,46,Masculino,Calca,73.0,Dinheiro,40,A cada 3 meses
1235,38,Masculino,Luvas,99.0,Dinheiro,2,Duas vezes/semana
1236,23,Masculino,Sueter,22.0,Transferencia Bancaria,46,A cada 3 meses
1237,42,Masculino,Bone,68.0,PayPal,35,A cada 3 meses
1238,25,Masculino,Vestido,92.0,Cartao de Credito,42,Trimestral
1239,55,Masculino,Calca,77.0,PayPal,3,Quinzenal
1240,62,Masculino,Casaco,37.0,PayPal,32,A cada 3 meses
1241,41,Masculino,Cachecol,79.0,Cartao de Debito,48,Anual
1242,58,Masculino,Agasalho,51.0,Dinheiro,34,Semanal
1243,56,Masculino,Meias,27.0,Transferencia Bancaria,15,Trimestral
1244,25,Masculino,Blusa,23.0,PayPal,22,Anual
1245,70,Masculino,Meias,76.0,Dinheiro,2,Mensal
1246,42,Masculino,Vestido,31.0,Transferencia Bancaria,30,Semanal
1247,27,Masculino,Agasalho,60.0,Cartao de Credito,27,Mensal
1248,65,Masculino,Camiseta,99.0,Transferencia Bancaria,18,Duas vezes/semana
1249,62,Masculino,Bone,37.0,Cartao de Credito,8,Anual
1250,62,Masculino,Botas,50.0,PayPal,48,Quinzenal
1251,52,Masculino,Jeans,26.0,Dinheiro,24,Mensal
1252,56,Masculino,Shorts,86.0,Cartao de Debito,43,Mensal
1253,28,Masculino,Sandalias,41.0,Venmo,8,Trimestral
1254,39,Masculino,Sandalias,23.0,Venmo,49,Anual
1255,54,Masculino,Tenis,56.0,Dinheiro,2,Duas vezes/semana
1256,30,Masculino,Bone,68.0,Cartao de Credito,38,Quinzenal
1257,45,Masculino,Casaco,48.0,Dinheiro,4,Quinzenal
1258,68,Masculino,Vestido,67.0,Dinheiro,31,A cada 3 meses
1259,47,Masculino,Botas,87.0,Cartao de Debito,34,A cada 3 meses
1260,68,Masculino,Saia,64.0,Transferencia Bancaria,45,Mensal
1261,63,Masculino,Camisa,93.0,Venmo,30,Trimestral
1262,20,Masculino,Camisa,29.0,Venmo,2,Quinzenal
1263,29,Masculino,Botas,62.0,Cartao de Debito,44,Mensal
1264,41,Masculino,Agasalho,70.0,Transferencia Bancaria,1,Duas vezes/semana
1265,52,Masculino,Sueter,92.0,Venmo,1,Duas vezes/semana
1266,32,Masculino,Camisa,79.0,Transferencia Bancaria,27,Semanal
1267,20,Masculino,Blusa,31.0,Dinheiro,14,A cada 3 meses
1268,47,Masculino,Camiseta,83.0,Cartao de Credito,41,Semanal
1269,23,Masculino,Jaqueta,88.0,Venmo,25,Duas vezes/semana
1270,43,Masculino,Joias,53.0,PayPal,47,Trimestral
1271,67,Masculino,Agasalho,98.0,Dinheiro,20,Anual
1272,70,Masculino,Joias,57.0,Dinheiro,42,Anual
1273,35,Masculino,Sandalias,80.0,Cartao de Debito,16,Mensal
1274,41,Masculino,Jeans,29.0,Dinheiro,32,A cada 3 meses
1275,54,Masculino,Bone,73.0,Dinheiro,37,Trimestral
1276,55,Masculino,Sueter,32.0,PayPal,1,Mensal
1277,51,Masculino,Botas,68.0,PayPal,37,Semanal
1278,19,Masculino,Blusa,97.0,Cartao de Debito,5,Trimestral
1279,28,Masculino,Shorts,98.0,Cartao de Credito,31,Quinzenal
1280,63,Masculino,Agasalho,56.0,PayPal,18,Anual
1281,30,Masculino,Calca,78.0,PayPal,39,A cada 3 meses
1282,29,Masculino,Cinto,81.0,Dinheiro,8,Duas vezes/semana
1283,24,Masculino,Camisa,68.0,Cartao de Debito,20,Mensal
1284,69,Masculino,Camisa,94.0,Cartao de Credito,23,A cada 3 meses
1285,65,Masculino,Vestido,93.0,Transferencia Bancaria,38,Quinzenal
1286,64,Masculino,Luvas,99.0,Venmo,45,Quinzenal
1287,40,Masculino,Luvas,49.0,Transferencia Bancaria,44,Quinzenal
1288,24,Masculino,Jeans,28.0,Venmo,20,Mensal
1289,66,Masculino,Cinto,93.0,Venmo,34,Duas vezes/semana
1290,35,Masculino,Jaqueta,24.0,Cartao de Debito,10,Semanal
1291,67,Masculino,Saia,35.0,Dinheiro,3,Anual
1292,69,Masculino,Sandalias,68.0,Venmo,23,Quinzenal
1293,26,Masculino,Cinto,61.0,Cartao de Debito,42,Anual
1294,23,Masculino,Sueter,74.0,Transferencia Bancaria,30,Anual
